Open,"October 20, 2016 at 11:36AM",Wireless Lab door
Closed,"October 20, 2016 at 11:36AM",Wireless Lab door
Open,"October 20, 2016 at 11:53AM",Wireless Lab door
Closed,"October 20, 2016 at 11:53AM",Wireless Lab door
Open,"October 20, 2016 at 12:06PM",Wireless Lab door
Closed,"October 20, 2016 at 12:06PM",Wireless Lab door
Open,"October 20, 2016 at 12:46PM",Wireless Lab door
Closed,"October 20, 2016 at 12:46PM",Wireless Lab door
Movement,"October 20, 2016 at 01:11PM",Motion Sensor
Open,"October 20, 2016 at 01:11PM",Wireless Lab door
Closed,"October 20, 2016 at 01:11PM",Wireless Lab door
Open,"October 20, 2016 at 01:12PM",Wireless Lab door
Closed,"October 20, 2016 at 01:12PM",Wireless Lab door
Movement,"October 20, 2016 at 01:12PM",Motion Sensor
Movement,"October 20, 2016 at 01:16PM",Motion Sensor
Movement,"October 20, 2016 at 01:17PM",Motion Sensor
Movement,"October 20, 2016 at 01:19PM",Motion Sensor
Open,"October 20, 2016 at 01:19PM",Wireless Lab door
Closed,"October 20, 2016 at 01:19PM",Wireless Lab door
Open,"October 20, 2016 at 01:19PM",Wireless Lab door
Open,"October 20, 2016 at 01:20PM",Wireless Lab door
Movement,"October 20, 2016 at 01:20PM",Motion Sensor
Movement,"October 20, 2016 at 01:22PM",Motion Sensor
Open,"October 20, 2016 at 01:22PM",Wireless Lab door
Closed,"October 20, 2016 at 01:22PM",Wireless Lab door
Open,"October 20, 2016 at 01:24PM",Wireless Lab door
Movement,"October 20, 2016 at 01:24PM",Motion Sensor
Open,"October 20, 2016 at 01:24PM",Wireless Lab door
Closed,"October 20, 2016 at 01:24PM",Wireless Lab door
Open,"October 20, 2016 at 02:50PM",Wireless Lab door
Movement,"October 20, 2016 at 02:50PM",Motion Sensor
Closed,"October 20, 2016 at 02:50PM",Wireless Lab door
Movement,"October 20, 2016 at 02:51PM",Motion Sensor
Open,"October 20, 2016 at 02:51PM",Wireless Lab door
Closed,"October 20, 2016 at 02:51PM",Wireless Lab door
Open,"October 20, 2016 at 02:57PM",Wireless Lab door
Movement,"October 20, 2016 at 02:57PM",Motion Sensor
Closed,"October 20, 2016 at 02:57PM",Wireless Lab door
Movement,"October 20, 2016 at 02:59PM",Motion Sensor
Open,"October 20, 2016 at 02:59PM",Wireless Lab door
Closed,"October 20, 2016 at 02:59PM",Wireless Lab door
Open,"October 20, 2016 at 03:20PM",Wireless Lab door
